detector_date,site
SM4_20120620,BECKP
SM4_20120621,BECKP
SM4_20120622,BECKP
SM4_20120707,BECKP
SM4_20120708,BECKP
SM4_20120709,BECKP
SM4_20120710,BECKP
SM6_20120620,BECKR
SM6_20120621,BECKR
SM6_20120622,BECKR
SM6_20120707,BECKR
SM6_20120708,BECKR
SM6_20120709,BECKR
SM6_20120710,BECKR
SM4_20120627,CLAMP
SM4_20120628,CLAMP
SM4_20120629,CLAMP
SM2_20120718,CLAMP
SM2_20120719,CLAMP
SM2_20120720,CLAMP
SM3_20120627,CLAMR
SM3_20120628,CLAMR
SM3_20120629,CLAMR
SM1_20120718,CLAMR
SM1_20120719,CLAMR
SM1_20120720,CLAMR
SM3_20120718,CLAMX
SM3_20120719,CLAMX
SM3_20120720,CLAMX
SM4_20120718,CLAMX
SM4_20120719,CLAMX
SM4_20120720,CLAMX
SM1_20120627,COHOP
SM1_20120628,COHOP
SM1_20120629,COHOP
SM6_20120718,COHOP
SM6_20120719,COHOP
SM6_20120720,COHOP
SM5_20120627,COHOR
SM5_20120628,COHOR
SM5_20120629,COHOR
SM5_20120718,COHOR
SM5_20120719,COHOR
SM5_20120720,COHOR
SM3_20120623,COLAP
SM3_20120624,COLAP
SM3_20120625,COLAP
SM3_20120626,COLAP
SM2_20120714,COLAP
SM2_20120715,COLAP
SM2_20120716,COLAP
SM2_20120717,COLAP
SM6_20120623,COLAR
SM6_20120624,COLAR
SM6_20120625,COLAR
SM6_20120626,COLAR
SM4_20120714,COLAR
SM4_20120715,COLAR
SM4_20120716,COLAR
SM4_20120717,COLAR
SM1_20120609,COWAP
SM1_20120610,COWAP
SM1_20120611,COWAP
SM1_20120612,COWAP
SM6_20120630,COWAP
SM6_20120701,COWAP
SM6_20120702,COWAP
SM6_20120703,COWAP
SM2_20120609,COWAR
SM2_20120610,COWAR
SM2_20120611,COWAR
SM2_20120612,COWAR
SM5_20120630,COWAR
SM5_20120701,COWAR
SM5_20120702,COWAR
SM5_20120703,COWAR
SM4_20120616,FNSUP
SM4_20120617,FNSUP
SM4_20120618,FNSUP
SM4_20120619,FNSUP
SM6_20120704,FNSUP
SM6_20120705,FNSUP
SM6_20120706,FNSUP
SM5_20120616,FNSUR
SM5_20120617,FNSUR
SM5_20120618,FNSUR
SM5_20120619,FNSUR
SM2_20120704,FNSUR
SM2_20120705,FNSUR
SM2_20120706,FNSUR
SM3_20120609,FOGAR
SM3_20120610,FOGAR
SM3_20120611,FOGAR
SM3_20120612,FOGAR
SM3_20120630,FOGAR
SM3_20120701,FOGAR
SM3_20120702,FOGAR
SM3_20120703,FOGAR
SM4_20120613,GRACR
SM4_20120614,GRACR
SM4_20120615,GRACR
SM1_20120630,GRACR
SM1_20120701,GRACR
SM1_20120702,GRACR
SM1_20120703,GRACR
