detector_date,site
SM6_20110811,GRACR
SM6_20110812,GRACR
SM6_20110813,HYDER
SM6_20110814,HYDER
SM6_20110815,HYDER
SM6_20110816,HYDER
SM6_20110817,FNSUR
SM6_20110818,FNSUR
SM6_20110819,FNSUR
SM6_20110820,SMMIR
SM6_20110821,SMMIR
SM6_20110822,SMMIR
SM6_20110823,HOCRR
SM6_20110824,HOCRR
SM6_20110825,HOCRR
SM6_20110826,HOCRR
SM6_20110827,COHOX
SM6_20110828,COHOX
SM6_20110829,COHOX
