detector_date,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE,TOTA
SM2_20120714,165.0,5.3008580680000001,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0
SM2_20120715,55.0,2.7650277769999994,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0
SM2_20120716,83.0,3.3278973549999997,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0
SM2_20120717,47.0,2.4679682540000001,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
SM2_20120718,90.0,4.4298250380000006,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0
SM3_20120609,594.0,26.630649716999997,3.0,57.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,84.0
SM3_20120610,27.0,0.42599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
SM3_20120611,46.0,2.123163398,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,8.0
SM3_20120612,35.0,2.1547936519999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0
SM3_20120613,230.0,5.6940875310000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,7.0,0.0,0.0,19.0
SM3_20120614,173.0,9.7170549470000012,1.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,11.0,4.0,0.0,0.0,29.0
SM3_20120615,111.0,4.7200441169999996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,15.0
SM3_20120616,573.0,21.158337478000004,1.0,12.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,3.0,4.0,5.0,34.0,0.0,0.0,69.0
SM3_20120617,1044.0,39.557467156999998,5.0,16.0,0.0,0.0,5.0,2.0,5.0,3.0,2.0,3.0,0.0,9.0,90.0,0.0,0.0,140.0
SM3_20120618,1108.0,33.017263861999993,1.0,3.0,0.0,0.0,5.0,0.0,15.0,1.0,2.0,2.0,0.0,5.0,83.0,0.0,0.0,117.0
SM3_20120619,584.0,19.279860934000002,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,8.0,2.0,0.0,2.0,49.0,0.0,0.0,69.0
SM3_20120620,6.0,1.576666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
SM3_20120621,70.0,2.3677077039999999,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
SM3_20120622,10.0,1.264,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SM3_20120623,1.0,0.53000000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SM3_20120624,12.0,0.27833333300000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SM3_20120625,9.0,0.61833333300000004,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SM3_20120626,6.0,0.69199999999999995,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SM3_20120627,55.0,1.7951818179999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0
SM3_20120628,32.0,2.8255555560000003,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0
SM3_20120629,10.0,1.3373333330000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
SM3_20120630,61.0,1.903490259,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
SM3_20120701,22.0,0.5625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
SM3_20120702,28.0,1.399714286,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SM3_20120703,8.0,0.29375000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SM3_20120704,11.0,0.63833333300000006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
SM3_20120705,135.0,4.4756293859999996,8.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
