site,date,detector_date,bug_date,bug_1,bug_2,bug_3,20110714,20110802,20110818,bug_count
COLAR,20110825,SM2_20110825,20110818,20110714,20110802,20110818,43.799999999999997,40.0,10.6,10.6
COLAR,20110826,SM2_20110826,20110818,20110714,20110802,20110818,43.799999999999997,40.0,10.6,10.6
COHOR,20110827,SM2_20110827,20110818,20110714,20110802,20110818,,,,
COHOR,20110828,SM2_20110828,20110818,20110714,20110802,20110818,,,,
COHOR,20110829,SM2_20110829,20110818,20110714,20110802,20110818,,,,
HYDER,20110714,SM3_20110714,20110714,20110714,20110802,20110818,2.0,0.0,0.0,2.0
HYDER,20110715,SM3_20110715,20110714,20110714,20110802,20110818,2.0,0.0,0.0,2.0
HYDER,20110716,SM3_20110716,20110714,20110714,20110802,20110818,2.0,0.0,0.0,2.0
NCTBR,20110717,SM3_20110717,20110714,20110714,20110802,20110818,12.6,24.0,20.800000000000001,12.6
NCTBR,20110718,SM3_20110718,20110714,20110714,20110802,20110818,12.6,24.0,20.800000000000001,12.6
NCTBR,20110719,SM3_20110719,20110714,20110714,20110802,20110818,12.6,24.0,20.800000000000001,12.6
NCTBR,20110720,SM3_20110720,20110714,20110714,20110802,20110818,12.6,24.0,20.800000000000001,12.6
JPBDR,20110721,SM3_20110721,20110714,20110714,20110802,20110818,12.199999999999999,8.5999999999999996,13.800000000000001,12.199999999999999
JPBDR,20110722,SM3_20110722,20110714,20110714,20110802,20110818,12.199999999999999,8.5999999999999996,13.800000000000001,12.199999999999999
JPBDR,20110723,SM3_20110723,20110714,20110714,20110802,20110818,12.199999999999999,8.5999999999999996,13.800000000000001,12.199999999999999
JPHRP,20110724,SM3_20110724,20110802,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001,4.4000000000000004
JPHRP,20110725,SM3_20110725,20110802,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001,4.4000000000000004
JPHRP,20110726,SM3_20110726,20110802,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001,4.4000000000000004
