site,extra,pair,detector_date,ncalls,qual,date,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE,TOTA,Hab05km,Hab10km,Hab15km,Hab20km,Hab25km,Hab30km,Hab35km,Hab40km,Hab45km,Hab50km,Hab55km,Hab60km,bug_count,min_temp,mean_temp
GRYOR,0,0,SM3_20110807,181,7.098288095,20110807,1,0,0,0,0,0,0,0,0,1,0,11,4,0,1,18,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,2.2,18.3,22.37014925
GRYOR,0,0,SM3_20110808,242,9.058498317,20110808,1,2,0,0,0,3,0,0,0,1,0,8,10,0,0,25,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,2.2,18.6,22.92014925
GRYOR,0,0,SM3_20110809,139,5.995819366,20110809,1,3,1,0,0,3,2,1,0,0,0,1,6,0,0,18,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,2.2,18.6,22.9141791
GRYOR,0,0,SM3_20110810,92,4.569248917,20110810,0,2,0,0,0,2,0,0,0,0,0,5,4,0,0,13,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,2.2,18.6,22.27777778
GRYOR,0,0,SM3_20110811,122,5.154865741,20110811,0,1,0,0,0,2,1,0,0,0,0,4,7,0,0,15,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,1,17.9,20.97111111
GRYOR,0,0,SM3_20110812,138,5.890729578,20110812,0,1,0,0,0,3,1,1,0,1,0,3,7,0,0,17,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,1,17.1,21.19338235
COWAP,0,1,SM3_20110813,185,4.844587217,20110813,0,3,0,0,2,1,0,0,2,0,1,2,3,0,0,14,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,17.3,23.28088235
COWAP,0,1,SM3_20110814,17,2.093181818,20110814,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,15.3,22.17153285
COWAP,0,1,SM3_20110815,131,3.282740602,20110815,0,2,0,0,1,1,0,0,2,0,0,1,3,0,0,10,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,19.6,23.50364964
COWAP,0,1,SM3_20110816,62,3.203333333,20110816,1,0,0,0,0,1,0,1,0,0,0,0,4,0,1,8,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,19.1,22.92043796
GRRUR,0,0,SM3_20110817,333,16.38771494,20110817,0,8,0,0,2,3,2,1,1,0,0,13,13,0,2,45,0,0.06,0.13,0.19,0.24,0.3,0.34,0.39,0.45,0.49,0.52,0.55,13.8,18.4,22.78695652
GRRUR,0,0,SM3_20110818,537,19.39434839,20110818,0,5,0,0,7,12,3,1,0,0,0,18,9,0,0,55,0,0.06,0.13,0.19,0.24,0.3,0.34,0.39,0.45,0.49,0.52,0.55,13.8,17.6,21.37753623
GRRUR,0,0,SM3_20110819,315,20.58736919,20110819,0,1,0,0,5,12,4,1,1,0,0,18,12,0,0,54,0,0.06,0.13,0.19,0.24,0.3,0.34,0.39,0.45,0.49,0.52,0.55,13.8,17.6,21.13884892
JPHRP,0,1,SM3_20110820,1004,30.05331637,20110820,4,8,0,0,1,3,11,2,4,1,2,8,55,0,2,101,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,3.6,18.6,23.06115108
JPHRP,0,1,SM3_20110821,1226,33.43006994,20110821,2,12,0,0,4,10,5,2,4,4,0,11,55,1,0,110,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,3.6,19.1,22.96285714
JPHRP,0,1,SM3_20110822,1091,37.6206669,20110822,5,19,0,0,5,5,6,4,7,6,3,6,60,0,0,126,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,3.6,18.4,23.01857143
RIWRR,0,0,SM3_20110823,488,25.21244097,20110823,0,15,0,0,10,13,3,0,1,0,0,18,9,0,1,70,0.1,0.16,0.25,0.31,0.37,0.44,0.48,0.5,0.51,0.52,0.54,0.55,3,18.8,24.85642857
RIWRR,0,0,SM3_20110824,361,26.29971758,20110824,0,14,0,0,11,16,0,1,0,0,0,25,4,0,0,71,0.1,0.16,0.25,0.31,0.37,0.44,0.48,0.5,0.51,0.52,0.54,0.55,3,19.1,24.03546099
RIWRR,0,0,SM3_20110825,361,16.92952797,20110825,0,19,0,0,3,9,0,1,0,0,0,10,7,0,0,49,0.1,0.16,0.25,0.31,0.37,0.44,0.48,0.5,0.51,0.52,0.54,0.55,3,18.6,23.97659574
RIWRR,0,0,SM3_20110826,155,8.800363636,20110826,3,9,0,0,4,2,0,0,0,0,0,4,2,0,0,24,0.1,0.16,0.25,0.31,0.37,0.44,0.48,0.5,0.51,0.52,0.54,0.55,3,17.8,22.68450704
COHOX,1,0,SM3_20110827,427,12.24878419,20110827,0,19,0,0,4,3,2,0,0,0,0,3,12,0,0,43,,,,,,,,,,,,,,18.4,25.10704225
COHOX,1,0,SM3_20110828,281,21.00894526,20110828,1,4,0,0,4,9,2,0,0,0,0,12,10,0,10,52,,,,,,,,,,,,,,16.5,23.95454545
COHOX,1,0,SM3_20110829,382,17.82794924,20110829,1,15,0,0,10,8,0,0,0,1,0,11,7,0,2,55,,,,,,,,,,,,,,18.4,23.83416667
FOGAR,0,0,SM4_20110714,13,1.57,20110714,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,5,0.38,0.61,0.63,0.66,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.61,20.6,12.5,17.29603175
FOGAR,0,0,SM4_20110715,124,5.252416284,20110715,0,3,0,0,0,1,0,2,0,0,1,5,2,0,0,14,0.38,0.61,0.63,0.66,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.61,20.6,15.3,19.27619048
FOGAR,0,0,SM4_20110716,147,4.444748129,20110716,1,0,0,0,0,0,1,0,1,0,0,4,6,0,0,13,0.38,0.61,0.63,0.66,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.61,20.6,16.5,20.16062992
GRYOP,0,1,SM4_20110717,122,5.047829366,20110717,1,4,0,0,0,0,1,0,0,1,0,1,4,0,0,12,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,0.8,14.1,19.74330709
GRYOP,0,1,SM4_20110718,394,10.94369562,20110718,1,2,1,0,1,1,3,0,0,0,0,2,17,0,0,28,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,0.8,15.8,21.26692913
GRYOP,0,1,SM4_20110719,399,17.04471686,20110719,2,0,0,0,1,0,4,1,1,1,1,1,26,0,0,38,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,0.8,16,22.77244094
GRYOP,0,1,SM4_20110720,375,17.8705337,20110720,0,0,1,0,2,3,5,0,0,0,1,7,21,0,0,40,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,0.8,18.1,23.740625
GRRUR,0,0,SM4_20110721,555,22.83598037,20110721,0,8,0,0,2,4,2,1,0,0,0,31,14,0,1,63,0,0.06,0.13,0.19,0.24,0.3,0.34,0.39,0.45,0.49,0.52,0.55,16,19.6,24.26015625
GRRUR,0,0,SM4_20110722,930,99.98695666,20110722,0,10,0,0,5,47,2,0,1,0,1,161,12,0,1,240,0,0.06,0.13,0.19,0.24,0.3,0.34,0.39,0.45,0.49,0.52,0.55,16,18.8,23.125
GRRUR,0,0,SM4_20110723,1510,74.54911141,20110723,0,8,0,0,4,43,4,0,1,1,0,116,12,0,0,189,0,0.06,0.13,0.19,0.24,0.3,0.34,0.39,0.45,0.49,0.52,0.55,16,17.9,21.91953125
SMMIP,0,1,SM4_20110724,6267,77.27769264,20110724,0,165,1,0,2,1,4,0,1,1,2,5,17,1,1,201,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,16.8,19.89767442
SMMIP,0,1,SM4_20110725,5987,72.88912848,20110725,0,134,1,0,10,0,5,0,0,0,4,3,24,0,1,182,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,17,20.04341085
SMMIP,0,1,SM4_20110726,6975,106.1871081,20110726,0,176,3,0,11,0,8,0,2,0,5,2,50,0,1,258,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,17.6,21.46356589
SMMIP,0,1,SM4_20110727,4743,80.27919993,20110727,1,121,0,0,11,0,15,0,3,1,3,7,36,0,1,199,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,16.6,21.07692308
HOCRP,0,1,SM4_20110728,1170,52.8662232,20110728,0,7,5,2,0,2,24,13,18,10,1,14,65,0,0,161,0,0.32,0.41,0.46,0.53,0.58,0.62,0.65,0.67,0.68,0.7,0.71,89.6,17,21.91923077
HOCRP,0,1,SM4_20110729,2282,68.88010523,20110729,0,52,4,0,2,0,28,12,33,8,2,15,59,0,0,215,0,0.32,0.41,0.46,0.53,0.58,0.62,0.65,0.67,0.68,0.7,0.71,89.6,17.4,21.51
HOCRP,0,1,SM4_20110730,1375,45.45707348,20110730,1,23,1,0,3,1,7,6,9,3,2,9,72,0,0,137,0,0.32,0.41,0.46,0.53,0.58,0.62,0.65,0.67,0.68,0.7,0.71,89.6,16.6,20.73129771
COHOP,0,1,SM4_20110803,2474,80.67008447,20110803,1,25,2,0,44,5,0,0,0,0,1,117,10,0,1,206,,,,,,,,,,,,,,16.3,20.49772727
COHOP,0,1,SM4_20110804,1472,62.38542222,20110804,1,15,1,0,28,4,1,0,0,1,2,102,10,1,1,167,,,,,,,,,,,,,,16,20.10902256
COHOP,0,1,SM4_20110805,1721,89.03913679,20110805,5,24,0,0,31,16,1,2,0,0,0,115,7,0,6,207,,,,,,,,,,,,,,15.5,20.14736842
GRCAR,0,0,SM4_20110806,731,20.21150075,20110806,0,0,0,0,1,3,1,0,0,9,0,21,17,0,0,52,0.15,0.1,0.2,0.29,0.37,0.4,0.41,0.42,0.43,0.45,0.46,0.47,0.4,16.5,20.91954887
GRCAR,0,0,SM4_20110807,672,19.11232446,20110807,0,0,0,0,2,1,3,0,0,6,0,28,13,0,0,53,0.15,0.1,0.2,0.29,0.37,0.4,0.41,0.42,0.43,0.45,0.46,0.47,0.4,16.6,20.16865672
GRCAR,0,0,SM4_20110808,636,21.73201636,20110808,0,1,0,0,0,2,3,0,0,6,0,25,18,0,0,55,0.15,0.1,0.2,0.29,0.37,0.4,0.41,0.42,0.43,0.45,0.46,0.47,0.4,16.3,19.8858209
GRCAR,0,0,SM4_20110809,748,25.91893798,20110809,0,0,0,0,9,1,1,0,1,9,2,30,12,0,2,67,0.15,0.1,0.2,0.29,0.37,0.4,0.41,0.42,0.43,0.45,0.46,0.47,0.4,14.5,19.73283582
GRCAR,0,0,SM4_20110810,399,13.87358125,20110810,0,0,0,0,1,3,1,1,0,3,1,12,15,0,0,37,0.15,0.1,0.2,0.29,0.37,0.4,0.41,0.42,0.43,0.45,0.46,0.47,0.4,15.8,18.98
GRCAR,0,0,SM4_20110811,352,13.6667592,20110811,0,3,0,0,0,2,1,0,0,3,0,20,5,0,1,35,0.15,0.1,0.2,0.29,0.37,0.4,0.41,0.42,0.43,0.45,0.46,0.47,0,16.3,18.91333333
GRCAR,0,0,SM4_20110812,624,14.68362845,20110812,0,0,0,0,13,0,1,1,0,1,0,21,4,0,0,41,0.15,0.1,0.2,0.29,0.37,0.4,0.41,0.42,0.43,0.45,0.46,0.47,0,,
COWAR,0,0,SM4_20110813,107,2.284802161,20110813,0,0,0,0,0,1,1,0,3,0,0,0,2,0,0,7,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,16,21.96838235
COWAR,0,0,SM4_20110814,77,14.31962607,20110814,1,0,0,0,0,2,0,0,1,1,0,2,3,0,15,25,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,13.5,20.71751825
COWAR,0,0,SM4_20110815,170,49.96031674,20110815,0,0,0,0,0,4,1,0,1,0,0,2,2,0,70,80,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,18.4,22.28029197
COWAR,0,0,SM4_20110816,76,8.462972222,20110816,0,0,0,0,0,3,0,0,2,0,0,0,6,0,7,18,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,18.1,21.82481752
JPBDR,0,0,SM4_20110817,218,9.344847307,20110817,1,2,0,0,0,3,0,0,0,1,0,5,7,0,1,20,0,0.1,0.24,0.32,0.36,0.38,0.41,0.43,0.45,0.5,0.54,0.58,13.8,16.5,20.67536232
JPBDR,0,0,SM4_20110818,118,5.931729242,20110818,1,0,0,0,0,3,1,0,0,1,1,4,5,0,0,16,0,0.1,0.24,0.32,0.36,0.38,0.41,0.43,0.45,0.5,0.54,0.58,13.8,15.6,19.37463768
JPBDR,0,0,SM4_20110819,97,5.593984127,20110819,0,1,0,0,0,2,0,0,0,0,0,2,6,0,1,12,0,0.1,0.24,0.32,0.36,0.38,0.41,0.43,0.45,0.5,0.54,0.58,13.8,15.6,19.12302158
JPHRX,1,0,SM4_20110820,1515,52.90076853,20110820,1,2,4,0,0,4,14,2,4,10,2,17,116,0,1,177,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,3.6,16.3,20.68273381
JPHRX,1,0,SM4_20110821,1815,55.1896322,20110821,4,6,0,0,3,9,18,1,8,7,0,21,107,0,0,184,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,3.6,16.5,20.73857143
JPHRX,1,0,SM4_20110822,1871,66.35103416,20110822,0,13,5,0,8,8,10,5,6,9,2,20,130,0,1,217,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,3.6,16.1,21.29214286
RILAR,0,0,SM4_20110823,227,13.10891624,20110823,0,1,1,0,3,10,2,0,0,0,5,1,6,0,1,30,0.32,0.39,0.42,0.5,0.6,0.65,0.69,0.72,0.74,0.76,0.77,0.77,14,16.5,22.81428571
RILAR,0,0,SM4_20110824,156,26.10891895,20110824,9,1,0,0,1,11,0,0,0,1,4,2,4,0,10,43,0.32,0.39,0.42,0.5,0.6,0.65,0.69,0.72,0.74,0.76,0.77,0.77,14,16.6,21.65460993
RILAR,0,0,SM4_20110825,182,10.284964,20110825,0,3,0,0,0,8,0,2,0,0,4,2,6,0,1,26,0.32,0.39,0.42,0.5,0.6,0.65,0.69,0.72,0.74,0.76,0.77,0.77,14,16.5,21.14113475
RILAR,0,0,SM4_20110826,63,7.097844155,20110826,0,1,1,0,0,6,0,0,0,0,3,1,1,0,1,14,0.32,0.39,0.42,0.5,0.6,0.65,0.69,0.72,0.74,0.76,0.77,0.77,14,,
CLAMR,0,0,SM4_20110827,381,14.47825685,20110827,0,13,0,0,1,6,1,0,0,1,0,10,5,0,0,37,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,5.8,16.5,22.16901408
CLAMR,0,0,SM4_20110828,180,9.26268807,20110828,2,2,1,0,0,8,1,0,0,0,0,7,7,0,4,32,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,5.8,14,21.07272727
CLAMR,0,0,SM4_20110829,332,11.43307663,20110829,1,5,0,0,0,15,3,0,0,0,0,5,5,0,0,34,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,5.8,12.7,20.26503497
COWAR,0,0,SM5_20110714,95,1.1042479,20110714,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,4,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,17.3,21.34603175
COWAR,0,0,SM5_20110715,182,5.071582634,20110715,0,0,0,0,1,0,0,2,4,0,0,3,5,0,0,15,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,19.3,22.5468254
COWAR,0,0,SM5_20110716,153,6.69970406,20110716,0,0,0,0,1,1,0,0,2,0,0,8,6,0,0,18,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,19.9,22.87559055
PIKAR,0,0,SM5_20110717,382,11.12280161,20110717,6,5,0,0,0,0,0,0,2,0,0,14,6,0,0,33,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,20.4,14.1,19.50787402
PIKAR,0,0,SM5_20110718,711,18.30354062,20110718,9,4,0,0,3,2,0,0,1,0,0,24,11,0,0,54,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,20.4,16.1,20.65511811
PIKAR,0,0,SM5_20110719,330,11.02346117,20110719,11,3,1,0,0,0,0,0,0,0,0,11,7,0,0,33,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,20.4,15.1,21.95590551
PIKAR,0,0,SM5_20110720,67,5.429487179,20110720,0,2,0,0,0,1,0,0,0,0,0,6,6,0,0,15,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,20.4,18.6,23.4984375
BECKR,0,0,SM5_20110721,73,6.072301282,20110721,0,1,0,0,2,0,1,0,1,0,0,11,1,0,0,17,0.02,0.02,0.08,0.19,0.27,0.3,0.32,0.34,0.4,0.45,0.51,0.55,2,20.4,25.18671875
BECKR,0,0,SM5_20110722,47,4.842518037,20110722,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,12,0.02,0.02,0.08,0.19,0.27,0.3,0.32,0.34,0.4,0.45,0.51,0.55,2,19.3,23.82265625
BECKR,0,0,SM5_20110723,109,5.949386752,20110723,0,1,0,0,1,0,0,0,1,0,0,9,4,0,0,16,0.02,0.02,0.08,0.19,0.27,0.3,0.32,0.34,0.4,0.45,0.51,0.55,2,18.9,22.91796875
SMMIX,1,0,SM5_20110724,4831,103.5584113,20110724,1,192,0,0,7,0,0,0,0,0,0,1,1,0,0,202,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,19.1,22.3503876
SMMIX,1,0,SM5_20110725,4240,99.4553381,20110725,2,162,0,0,19,0,0,0,0,0,0,6,2,0,0,191,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,19.3,22.33410853
SMMIX,1,0,SM5_20110726,5272,123.8371272,20110726,1,217,0,0,18,0,0,1,0,0,0,2,9,0,0,248,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,19.9,23.85581395
SMMIX,1,0,SM5_20110727,3126,81.23571574,20110727,0,138,0,0,9,0,0,0,0,1,0,2,8,0,0,158,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,18.8,23.37615385
COLAR,0,0,SM5_20110728,3,1.13,20110728,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0.5,0.59,0.69,0.73,0.73,0.74,0.76,0.78,0.79,0.8,0.81,0.81,40,19.3,24.28384615
COLAR,0,0,SM5_20110729,4,0.4675,20110729,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.59,0.69,0.73,0.73,0.74,0.76,0.78,0.79,0.8,0.81,0.81,40,19.3,23.87384615
COLAR,0,0,SM5_20110730,1,0.27,20110730,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0.59,0.69,0.73,0.73,0.74,0.76,0.78,0.79,0.8,0.81,0.81,40,18.8,23.25267176
CLAMP,0,1,SM5_20110803,102,8.124929536,20110803,0,9,0,0,1,0,0,0,0,0,0,5,1,0,0,16,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,,18.1,21.60833333
CLAMP,0,1,SM5_20110804,269,14.54953405,20110804,1,17,0,0,1,2,0,0,0,0,0,6,2,0,0,29,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,,17.8,21.57518797
CLAMP,0,1,SM5_20110805,199,12.64228427,20110805,1,12,0,0,3,1,0,0,0,0,0,7,2,0,0,26,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,,17.4,21.59548872
NCTBR,0,0,SM5_20110806,16,1.366666667,20110806,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0.17,0.34,0.38,0.43,0.47,0.49,0.49,0.5,0.52,0.55,0.57,0.6,24,19.3,23.53458647
NCTBR,0,0,SM5_20110807,43,4.010075757,20110807,2,0,0,0,0,0,1,0,0,0,0,3,2,1,0,9,0.17,0.34,0.38,0.43,0.47,0.49,0.49,0.5,0.52,0.55,0.57,0.6,24,18.9,22.14029851
NCTBR,0,0,SM5_20110808,76,3.817108466,20110808,0,1,0,0,0,0,0,0,0,0,0,7,2,0,0,10,0.17,0.34,0.38,0.43,0.47,0.49,0.49,0.5,0.52,0.55,0.57,0.6,24,19.6,22.71268657
NCTBR,0,0,SM5_20110809,13,1.31,20110809,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0.17,0.34,0.38,0.43,0.47,0.49,0.49,0.5,0.52,0.55,0.57,0.6,24,19.1,22.9358209
NCTBR,0,0,SM5_20110810,56,4.467277778,20110810,2,1,0,0,0,2,0,0,0,0,0,5,1,0,0,11,0.17,0.34,0.38,0.43,0.47,0.49,0.49,0.5,0.52,0.55,0.57,0.6,24,19.4,22.54074074
NCTBR,0,0,SM5_20110811,7,2,20110811,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,5,0.17,0.34,0.38,0.43,0.47,0.49,0.49,0.5,0.52,0.55,0.57,0.6,20.8,18.8,21.16666667
NCTBR,0,0,SM5_20110812,32,2.005833334,20110812,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,6,0.17,0.34,0.38,0.43,0.47,0.49,0.49,0.5,0.52,0.55,0.57,0.6,20.8,17.8,20.87647059
NCTCR,0,0,SM5_20110813,22,1.696333333,20110813,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0.09,0.25,0.31,0.34,0.39,0.45,0.49,0.53,0.56,0.59,0.61,11,18.1,23.51102941
NCTCR,0,0,SM5_20110814,31,3.685147059,20110814,0,1,0,0,0,5,0,0,0,0,0,3,0,0,0,9,0,0.09,0.25,0.31,0.34,0.39,0.45,0.49,0.53,0.56,0.59,0.61,11,14.3,21.6649635
NCTCR,0,0,SM5_20110815,9,1.36,20110815,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0.09,0.25,0.31,0.34,0.39,0.45,0.49,0.53,0.56,0.59,0.61,11,20.1,23.85182482
NCTCR,0,0,SM5_20110816,16,2.895,20110816,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,8,0,0.09,0.25,0.31,0.34,0.39,0.45,0.49,0.53,0.56,0.59,0.61,11,19.8,23.28248175
FNSUP,0,1,SM5_20110817,322,22.74775675,20110817,2,5,0,0,4,5,0,0,0,1,0,29,11,0,0,57,0.04,0.03,0.04,0.06,0.11,0.18,0.25,0.34,0.41,0.47,0.51,0.54,0.8,18.6,22.60434783
FNSUP,0,1,SM5_20110818,213,13.44565579,20110818,1,1,0,0,1,2,1,0,1,0,0,21,7,0,0,35,0.04,0.03,0.04,0.06,0.11,0.18,0.25,0.34,0.41,0.47,0.51,0.54,0.8,17.8,21.13550725
FNSUP,0,1,SM5_20110819,204,15.23604546,20110819,0,6,0,0,3,5,1,0,0,0,0,14,8,0,1,38,0.04,0.03,0.04,0.06,0.11,0.18,0.25,0.34,0.41,0.47,0.51,0.54,0.8,17.9,21.39856115
SMMIP,0,1,SM5_20110820,2229,41.72790148,20110820,1,110,0,0,5,2,1,0,1,0,0,0,1,0,0,121,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,5,19.3,23.77410072
SMMIP,0,1,SM5_20110821,1740,38.03537391,20110821,0,88,0,0,5,2,1,0,1,1,0,4,9,0,0,111,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,5,19.6,23.725
SMMIP,0,1,SM5_20110822,1178,33.30621392,20110822,0,65,0,0,7,2,0,0,0,0,0,7,6,0,0,87,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,5,17.6,23.94
HOCRP,0,1,SM5_20110823,59,5.463249416,20110823,0,9,0,0,0,2,1,1,0,0,0,2,0,0,0,15,0,0.32,0.41,0.46,0.53,0.58,0.62,0.65,0.67,0.68,0.7,0.71,34.2,17.3,22.81
HOCRP,0,1,SM5_20110824,537,36.77911705,20110824,1,64,0,0,4,2,1,0,0,0,0,10,0,0,1,83,0,0.32,0.41,0.46,0.53,0.58,0.62,0.65,0.67,0.68,0.7,0.71,34.2,18.3,22.63971631
HOCRP,0,1,SM5_20110825,176,14.07173465,20110825,1,16,0,0,4,5,0,0,0,0,0,6,0,0,0,32,0,0.32,0.41,0.46,0.53,0.58,0.62,0.65,0.67,0.68,0.7,0.71,34.2,17.4,21.67234043
HOCRP,0,1,SM5_20110826,318,24.28234499,20110826,1,32,0,0,10,6,0,0,0,0,0,6,0,0,0,55,0,0.32,0.41,0.46,0.53,0.58,0.62,0.65,0.67,0.68,0.7,0.71,34.2,16.6,20.80211268
COHOP,0,1,SM5_20110827,323,32.01300441,20110827,2,43,0,0,9,2,0,0,1,0,0,15,1,0,0,73,,,,,,,,,,,,,,19.1,25.04014085
COHOP,0,1,SM5_20110828,147,14.64876474,20110828,0,19,0,0,1,3,0,0,0,0,0,9,1,0,0,33,,,,,,,,,,,,,,17.1,24.06923077
COHOP,0,1,SM5_20110829,129,15.73533117,20110829,0,20,0,0,2,4,0,0,0,0,0,6,4,0,0,36,,,,,,,,,,,,,,16.1,23.59020979
COWAP,0,1,SM6_20110714,491,7.668069928,20110714,0,4,0,0,0,0,2,1,8,0,0,1,10,0,0,26,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,16.5,20.0484127
COWAP,0,1,SM6_20110715,382,8.248801316,20110715,0,2,0,0,0,0,0,1,9,0,0,3,12,0,0,27,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,17.8,20.94126984
COWAP,0,1,SM6_20110716,388,9.910373901,20110716,0,2,0,0,0,1,3,0,4,0,1,3,14,1,0,29,0.48,0.43,0.5,0.48,0.46,0.46,0.48,0.52,0.56,0.58,0.6,0.61,0.8,19.1,21.99685039
PIKAP,0,1,SM6_20110717,530,13.50549643,20110717,1,8,0,0,2,1,0,0,2,0,0,12,14,0,0,40,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,20.4,14.3,19.51968504
