date_time,date,time,temp,external
20110714_203401,2011-Jul-14,20:34:01,19.600000000000001,1.1759999999999999
20110714_203901,2011-Jul-14,20:39:01,21.100000000000001,1.0469999999999999
20110714_204401,2011-Jul-14,20:44:01,22.199999999999999,1.0309999999999999
20110714_204901,2011-Jul-14,20:49:01,22.699999999999999,1.024
20110714_205401,2011-Jul-14,20:54:01,22.899999999999999,1.0049999999999999
20110714_205901,2011-Jul-14,20:59:01,23.100000000000001,0.97899999999999998
20110714_210401,2011-Jul-14,21:04:01,23.100000000000001,0.95299999999999996
20110714_210901,2011-Jul-14,21:09:01,23.100000000000001,0.92400000000000004
20110714_211401,2011-Jul-14,21:14:01,22.899999999999999,0.90200000000000002
20110714_211901,2011-Jul-14,21:19:01,22.699999999999999,0.879
20110714_212401,2011-Jul-14,21:24:01,22.699999999999999,0.85999999999999999
20110714_212901,2011-Jul-14,21:29:01,22.600000000000001,0.83699999999999997
20110714_213401,2011-Jul-14,21:34:01,22.600000000000001,0.81799999999999995
20110714_213901,2011-Jul-14,21:39:01,22.399999999999999,0.79900000000000004
20110714_214401,2011-Jul-14,21:44:01,22.199999999999999,0.77900000000000003
20110714_214901,2011-Jul-14,21:49:01,22.199999999999999,0.76300000000000001
20110714_215401,2011-Jul-14,21:54:01,22.100000000000001,0.747
20110714_215901,2011-Jul-14,21:59:01,21.899999999999999,0.72799999999999998
20110714_220401,2011-Jul-14,22:04:01,21.899999999999999,0.71199999999999997
20110714_220901,2011-Jul-14,22:09:01,21.699999999999999,0.69599999999999995
20110714_221401,2011-Jul-14,22:14:01,21.699999999999999,0.67900000000000005
20110714_221901,2011-Jul-14,22:19:01,21.600000000000001,0.66300000000000003
20110714_222401,2011-Jul-14,22:24:01,21.600000000000001,0.65000000000000002
20110714_222901,2011-Jul-14,22:29:01,21.600000000000001,0.63400000000000001
20110714_223401,2011-Jul-14,22:34:01,21.399999999999999,0.621
20110714_223901,2011-Jul-14,22:39:01,21.399999999999999,0.60899999999999999
20110714_224401,2011-Jul-14,22:44:01,21.199999999999999,0.59599999999999997
20110714_224901,2011-Jul-14,22:49:01,21.199999999999999,0.58299999999999996
20110714_225401,2011-Jul-14,22:54:01,21.199999999999999,0.57299999999999995
20110714_225901,2011-Jul-14,22:59:01,21.100000000000001,0.56299999999999994
20110714_230401,2011-Jul-14,23:04:01,21.100000000000001,0.55400000000000005
20110714_230901,2011-Jul-14,23:09:01,20.899999999999999,0.54400000000000004
20110714_231401,2011-Jul-14,23:14:01,20.899999999999999,0.53400000000000003
20110714_231901,2011-Jul-14,23:19:01,20.899999999999999,0.52800000000000002
20110714_232401,2011-Jul-14,23:24:01,20.800000000000001,0.51800000000000002
20110714_232901,2011-Jul-14,23:29:01,20.800000000000001,0.51200000000000001
20110714_233401,2011-Jul-14,23:34:01,20.800000000000001,0.505
20110714_233901,2011-Jul-14,23:39:01,20.800000000000001,0.502
20110714_234401,2011-Jul-14,23:44:01,20.800000000000001,0.496
20110714_234901,2011-Jul-14,23:49:01,20.800000000000001,0.49299999999999999
20110714_235401,2011-Jul-14,23:54:01,20.600000000000001,0.48899999999999999
20110714_235901,2011-Jul-14,23:59:01,20.600000000000001,0.48299999999999998
20110714_000401,2011-Jul-15,00:04:01,20.600000000000001,0.47599999999999998
20110714_000901,2011-Jul-15,00:09:01,20.600000000000001,0.46999999999999997
20110714_001401,2011-Jul-15,00:14:01,20.600000000000001,0.46700000000000003
20110714_001901,2011-Jul-15,00:19:01,20.399999999999999,0.46400000000000002
20110714_002401,2011-Jul-15,00:24:01,20.399999999999999,0.45700000000000002
20110714_002901,2011-Jul-15,00:29:01,20.300000000000001,0.45400000000000001
20110714_003401,2011-Jul-15,00:34:01,20.300000000000001,0.45100000000000001
20110714_003901,2011-Jul-15,00:39:01,20.300000000000001,0.44700000000000001
20110714_004401,2011-Jul-15,00:44:01,20.300000000000001,0.44400000000000001
20110714_004901,2011-Jul-15,00:49:01,20.300000000000001,0.441
20110714_005401,2011-Jul-15,00:54:01,20.100000000000001,0.438
20110714_005901,2011-Jul-15,00:59:01,20.300000000000001,0.435
20110714_010401,2011-Jul-15,01:04:01,20.300000000000001,0.43099999999999999
20110714_010901,2011-Jul-15,01:09:01,20.300000000000001,0.43099999999999999
20110714_011401,2011-Jul-15,01:14:01,20.300000000000001,0.42799999999999999
20110714_011901,2011-Jul-15,01:19:01,20.399999999999999,0.42499999999999999
20110714_012401,2011-Jul-15,01:24:01,20.399999999999999,0.42199999999999999
20110714_012901,2011-Jul-15,01:29:01,20.600000000000001,0.42199999999999999
20110714_013401,2011-Jul-15,01:34:01,20.600000000000001,0.41799999999999998
20110714_013901,2011-Jul-15,01:39:01,20.800000000000001,0.41499999999999998
20110714_014401,2011-Jul-15,01:44:01,20.800000000000001,0.41199999999999998
20110714_014901,2011-Jul-15,01:49:01,20.800000000000001,0.41199999999999998
20110714_015401,2011-Jul-15,01:54:01,20.899999999999999,0.41199999999999998
20110714_015901,2011-Jul-15,01:59:01,20.899999999999999,0.40899999999999997
20110714_020401,2011-Jul-15,02:04:01,20.899999999999999,0.40899999999999997
20110714_020901,2011-Jul-15,02:09:01,20.899999999999999,0.40899999999999997
20110714_021401,2011-Jul-15,02:14:01,20.899999999999999,0.40600000000000003
20110714_021901,2011-Jul-15,02:19:01,20.899999999999999,0.40899999999999997
20110714_022401,2011-Jul-15,02:24:01,20.899999999999999,0.40600000000000003
20110714_022901,2011-Jul-15,02:29:01,21.100000000000001,0.40600000000000003
