,site,date,detector_date,bug_date,bug_count
187,JPHRR,20110724,SM6_20110724,20110802,4.4
188,JPHRR,20110725,SM6_20110725,20110802,4.4
189,JPHRR,20110726,SM6_20110726,20110802,4.4
190,JPHRR,20110727,SM6_20110727,20110802,4.4
201,NCTBR,20110806,SM5_20110806,20110802,24
202,NCTBR,20110807,SM5_20110807,20110802,24
203,NCTBR,20110808,SM5_20110808,20110802,24
204,NCTBR,20110809,SM5_20110809,20110802,24
205,NCTBR,20110810,SM5_20110810,20110802,24
232,RILAR,20110728,SM1_20110728,20110802,29.2
233,RILAR,20110729,SM1_20110729,20110802,29.2
234,RILAR,20110730,SM1_20110730,20110802,29.2
235,RILAR,20110731,SM1_20110731,20110802,29.2
240,RIWRR,20110728,SM2_20110728,20110802,7.2
241,RIWRR,20110729,SM2_20110729,20110802,7.2
242,RIWRR,20110730,SM2_20110730,20110802,7.2
243,RIWRR,20110731,SM2_20110731,20110802,7.2
248,SMMIP,20110724,SM4_20110724,20110802,9.8
249,SMMIP,20110725,SM4_20110725,20110802,9.8
250,SMMIP,20110726,SM4_20110726,20110802,9.8
251,SMMIP,20110727,SM4_20110727,20110802,9.8
255,SMMIR,20110724,SM1_20110724,20110802,9.8
256,SMMIR,20110725,SM1_20110725,20110802,9.8
257,SMMIR,20110726,SM1_20110726,20110802,9.8
258,SMMIR,20110727,SM1_20110727,20110802,9.8
262,SMMIX,20110724,SM2_20110724,20110802,9.8
263,SMMIX,20110725,SM2_20110725,20110802,9.8
264,SMMIX,20110726,SM2_20110726,20110802,9.8
265,SMMIX,20110727,SM2_20110727,20110802,9.8
266,SMMIX,20110724,SM5_20110724,20110802,9.8
267,SMMIX,20110725,SM5_20110725,20110802,9.8
268,SMMIX,20110726,SM5_20110726,20110802,9.8
269,SMMIX,20110727,SM5_20110727,20110802,9.8
0,BECKP,20110817,SM1_20110817,20110818,6.4
1,BECKP,20110818,SM1_20110818,20110818,6.4
