detector_date,max_temp,min_temp,temp_sunset,mean_temp
SM2_20110828,33.1,17.4,30.2,24.63146853
SM2_20110829,33.1,16.1,30.5,23.7041958
SM2_20120609,31.7,24.6,27,29.45564516
SM2_20120610,29.8,15.3,26.9,22.8766129
SM2_20120611,30.8,17.3,27.7,23.83252033
SM2_20120612,33.6,18.9,30.2,26.2300813
SM2_20120613,28.7,14.6,24.6,22.53089431
SM2_20120614,27.9,14,24.6,21.22764228
SM2_20120615,29.5,16,26,23.03658537
SM2_20120616,36.6,18.8,34.1,26.95365854
SM2_20120617,30.7,18.6,27.9,24.1097561
SM2_20120618,25.9,16,23.1,21.15284553
SM2_20120619,30.7,14.8,28.4,22.16422764
SM2_20120630,27.9,20.3,23.7,25.01869919
SM2_20120701,27.7,20.3,24.7,24.1766129
SM2_20120702,26,13.8,23.2,19.51532258
SM2_20120703,27.2,15.5,24.7,20.7733871
SM2_20120704,26.5,19.3,22.4,23.47258065
SM2_20120705,26.5,18.8,23.1,21.82016129
SM2_20120706,28.2,14.3,24.9,20.8733871
SM2_20120707,32.2,18.6,29.7,24.0368
SM2_20120708,27.5,13.6,24.6,20.5072
SM2_20120709,27.9,17.8,24.9,21.3424
SM2_20120710,33.3,16,31,24.0288
SM2_20120711,36.3,17.3,32.8,25.7192
SM2_20120712,29.8,20.4,26.9,24.23492063
SM2_20120713,25.1,19.1,22.1,22.52619048
SM2_20120714,28.2,17.8,25.4,22.16269841
SM2_20120715,25.7,17.4,22.9,21.80952381
SM2_20120716,23.9,19.8,20.9,22.68425197
SM2_20120717,23.2,13.2,20.4,17.53779528
SM2_20120718,25.4,19.9,21.4,22.09166667
SM3_20110714,23.2,15,18.9,19.8047619
SM3_20110715,21.9,17.4,17.8,20.98015873
SM3_20110716,24.4,18.9,20.4,21.88503937
SM3_20110717,25.2,15.8,22.2,20.64409449
SM3_20110718,25.4,17.6,22.1,22.04094488
SM3_20110719,28.2,16.5,25.4,22.5023622
SM3_20110720,29.8,19.6,27.4,23.7703125
SM3_20110721,30.3,20.8,26.5,25.465625
SM3_20110722,28.7,19.8,25.4,24.43828125
SM3_20110723,27,19.1,23.7,23.271875
SM3_20110724,27.7,19.3,24.7,22.71162791
SM3_20110725,28.4,15.1,25.7,21.74806202
SM3_20110726,28.9,20.1,26.2,24.22093023
SM3_20110727,30.3,15.8,28,22.83538462
SM3_20110728,28.7,19.1,24.6,24.23076923
SM3_20110729,25.5,19.6,21.7,23.79461538
SM3_20110730,25.9,18.9,22.2,23.12137405
SM3_20110731,27.4,19.4,23.2,24.69389313
SM3_20110803,29.3,19.4,26.5,23.27575758
SM3_20110804,28.4,18.9,25.7,22.95037594
SM3_20110805,30,18.4,27.4,23.08571429
SM3_20110806,26.7,18.6,22.4,23.33308271
SM3_20110807,26,18.3,22.4,22.37014925
SM3_20110808,26.9,18.6,23.4,22.92014925
SM3_20110809,27.7,18.6,24.4,22.9141791
SM3_20110810,25.4,18.6,22.1,22.27777778
SM3_20110811,25.1,17.9,21.9,20.97111111
SM3_20110812,27.4,17.1,24.7,21.19338235
SM3_20110813,28.5,17.3,24.6,23.28088235
SM3_20110814,28,15.3,24.4,22.17153285
SM3_20110815,27.9,19.6,24.6,23.50364964
SM3_20110816,27.5,19.1,24.6,22.92043796
SM3_20110817,28.2,18.4,25.1,22.78695652
SM3_20110818,26.4,17.6,23.4,21.37753623
SM3_20110819,23.9,17.6,21.1,21.13884892
SM3_20110820,26,18.6,21.7,23.06115108
SM3_20110821,27,19.1,23.6,22.96285714
SM3_20110822,29.8,18.4,26.9,23.01857143
SM3_20110823,33.6,18.8,30.8,24.85642857
SM3_20110824,30.5,19.1,28.4,24.03546099
SM3_20110825,31.7,18.6,29.3,23.97659574
SM3_20110826,30.7,17.8,28.5,22.68450704
SM3_20110827,36.5,18.4,34.1,25.10704225
SM3_20110828,34.6,16.5,32.3,23.95454545
SM3_20110829,34,18.4,31.8,23.83416667
SM3_20120609,28.2,20.1,24.6,25.90806452
SM3_20120610,27.7,13.3,24.9,20.22258065
SM3_20120611,27.7,13.8,25.1,20.17235772
SM3_20120612,24.6,13.2,21.7,18.66504065
SM3_20120613,26.2,13,22.7,19.68373984
SM3_20120614,27.4,11.8,24.6,18.99512195
SM3_20120615,28.2,15,25.7,21.00894309
SM3_20120616,35,17,32.3,24.91544715
SM3_20120617,29,17.3,26.5,22.30406504
SM3_20120618,24.1,14.8,21.6,19.71138211
SM3_20120619,29.2,13,27,20.3699187
SM3_20120620,28.5,15.1,25.1,21.52926829
SM3_20120621,22.1,11.8,18.6,17.40487805
SM3_20120622,22.1,12.3,17.8,18.95284553
SM3_20120623,22.9,7.9,20.1,14.95934959
SM3_20120624,24.1,8.7,21.7,15.31138211
SM3_20120625,23.2,8.5,20.4,16.31869919
SM3_20120626,27.4,13,23.7,20.59674797
SM3_20120627,29.2,12.7,26.7,20.01300813
SM3_20120628,28.9,15.8,26.5,20.43739837
SM3_20120629,27.9,16.3,25.2,21.61138211
SM3_20120630,25.4,17.8,22.4,22.27479675
SM3_20120701,24.4,18.8,21.2,21.58387097
SM3_20120702,23.1,12.7,20.3,17.99112903
SM3_20120703,26.9,14.1,24.7,19.81451613
SM3_20120704,25.7,18.6,21.7,22.93145161
SM3_20120705,25.9,17.9,22.6,20.83145161
SM3_20120706,28.4,17.1,24.4,23.63064516
SM3_20120707,29.3,18.3,27,22.6368
SM3_20120708,25.7,13.8,22.7,19.4608
SM3_20120709,25.7,17,23.1,19.9224
SM3_20120710,29.8,14.8,27.5,21.4952
SM3_20120711,34.8,16,31.3,24.6384
SM3_20120712,29,18.9,26,23.13412698
SM3_20120713,24.4,18.1,21.4,21.64365079
SM3_20120714,26.5,15.3,24.1,20.47619048
SM3_20120715,23.9,15.3,21.4,19.90873016
SM3_20120716,22.2,17.8,19.8,20.86614173
SM3_20120717,21.2,11.3,18.6,16.52204724
SM3_20120718,28.4,18.4,25.4,22.32677165
SM3_20120719,28.9,15.1,26.4,21.1976378
SM3_20120720,34.6,17.4,31.8,25.125
SM3_20120721,30.2,30.2,30.2,30.2
SM4_20110714,20.1,12.5,15.8,17.29603175
SM4_20110715,20.8,15.3,16.8,19.27619048
SM4_20110716,22.1,16.5,18.1,20.16062992
SM4_20110717,24.1,14.1,20.6,19.74330709
SM4_20110718,24.7,15.8,21.2,21.26692913
SM4_20110719,28.5,16,25.4,22.77244094
SM4_20110720,30.2,18.1,27.5,23.740625
SM4_20110721,28.7,19.6,24.7,24.26015625
SM4_20110722,26.9,18.8,23.1,23.125
SM4_20110723,24.9,17.9,21.4,21.91953125
SM4_20110724,24.6,16.8,22.1,19.89767442
SM4_20110725,24.7,17,22.2,20.04341085
SM4_20110726,25.5,17.6,23.1,21.46356589
SM4_20110727,26.9,16.6,24.6,21.07692308
SM4_20110728,26.7,17,22.9,21.91923077
SM4_20110729,23.2,17.4,19.8,21.51
SM4_20110730,23.4,16.6,20.3,20.73129771
SM4_20110731,25.2,17,21.2,22.20839695
SM4_20110803,26.4,16.3,23.2,20.49772727
SM4_20110804,25.4,16,22.4,20.10902256
SM4_20110805,27.2,15.5,24.2,20.14736842
SM4_20110806,24.1,16.5,19.8,20.91954887
SM4_20110807,23.4,16.6,19.6,20.16865672
SM4_20110808,23.7,16.3,20.4,19.8858209
SM4_20110809,24.6,14.5,21.2,19.73283582
SM4_20110810,22.6,15.8,19.4,18.98
SM4_20110811,22.6,16.3,19.4,18.91333333
SM4_20110812,24.1,20.4,21.2,22.33809524
SM4_20110813,27.4,16,23.2,21.96838235
SM4_20110814,27.2,13.5,23.6,20.71751825
SM4_20110815,27.2,18.4,23.7,22.28029197
SM4_20110816,26.5,18.1,23.2,21.82481752
SM4_20110817,26.5,16.5,23.6,20.67536232
SM4_20110818,24.7,15.6,21.9,19.37463768
SM4_20110819,22.2,15.6,19.4,19.12302158
SM4_20110820,24.1,16.3,19.6,20.68273381
SM4_20110821,25.1,16.5,21.6,20.73857143
SM4_20110822,28.2,16.1,25.1,21.29214286
SM4_20110823,31.5,16.5,28.9,22.81428571
SM4_20110824,27.4,16.6,24.7,21.65460993
SM4_20110825,27.7,16.5,25.1,21.14113475
SM4_20110826,26.9,23.4,24.6,25.45416667
SM4_20110827,30.5,16.5,27.5,22.16901408
SM4_20110828,29.2,14,26.4,21.07272727
SM4_20110829,30,12.7,27.4,20.26503497
SM4_20120609,27,19.8,23.4,25.28225806
SM4_20120610,27,11.2,24.4,18.40241935
SM4_20120611,25.2,12.5,22.2,18.57479675
SM4_20120612,26.4,14,23.6,19.71707317
SM4_20120613,23.4,13.5,19.8,18.53495935
SM4_20120614,23.4,11.3,20.4,18.13170732
SM4_20120615,25.7,12.7,23.1,18.8504065
SM4_20120616,31.5,16.5,28.9,23.85934959
SM4_20120617,26.7,16.1,23.4,20.83170732
SM4_20120618,21.6,12,18.4,17.33739837
SM4_20120619,26,12.5,23.4,19.4097561
SM4_20120620,29.3,16.1,25.5,22.40569106
SM4_20120621,21.1,11.5,17.4,17.04878049
SM4_20120622,20.4,11.7,15.8,18.03333333
SM4_20120623,22.2,6.2,19.9,13.87154472
SM4_20120624,22.9,6.9,20.8,13.63414634
SM4_20120625,21.6,7,18.4,14.46747967
SM4_20120626,25.2,11.7,21.4,19.20406504
SM4_20120627,26,11.3,23.6,18.19756098
SM4_20120628,26.7,14.3,24.2,18.80650407
SM4_20120629,26,14.8,23.4,20.0804878
SM4_20120630,23.6,17.3,20.1,21.28373984
SM4_20120701,22.4,17.3,19.3,20.68145161
SM4_20120702,21.6,11.5,18.6,16.81693548
SM4_20120703,22.2,13,19.6,17.65080645
SM4_20120704,23.2,16,19.3,20.21854839
SM4_20120705,22.9,15.8,19.4,18.83225806
SM4_20120706,25.2,11.8,21.9,18.35806452
SM4_20120707,27.4,17.3,24.1,22.316
SM4_20120708,25.1,14.3,21.7,20.356
SM4_20120709,25.4,16.5,22.2,20.6648
SM4_20120710,29.2,16,26.4,22.6528
SM4_20120711,31.5,14.1,28.4,22.7704
SM4_20120712,25.2,17.3,22.2,20.53968254
SM4_20120713,20.6,15.6,17.4,18.70555556
SM4_20120714,25.1,14.1,22.7,18.51587302
SM4_20120715,22.1,13.8,19.8,17.94285714
SM4_20120716,20.8,16.1,18.3,19.26850394
SM4_20120717,19.9,9.4,17.3,13.90472441
SM4_20120718,23.6,15.8,19.6,19.56220472
SM4_20120719,24.1,13.2,20.6,18.6488189
SM4_20120720,29.5,15.5,26,22.56328125
SM5_20110714,25.1,17.3,20.8,21.34603175
SM5_20110715,23.7,19.3,19.8,22.5468254
SM5_20110716,26,19.9,22.1,22.87559055
SM5_20110717,24.6,14.1,21.2,19.50787402
SM5_20110718,25.1,16.1,21.6,20.65511811
SM5_20110719,28.5,15.1,25.5,21.95590551
SM5_20110720,30.2,18.6,27.5,23.4984375
SM5_20110721,30,20.4,26,25.18671875
SM5_20110722,27.5,19.3,23.9,23.82265625
SM5_20110723,26.4,18.9,23.1,22.91796875
SM5_20110724,28,19.1,25.9,22.3503876
SM5_20110725,28,19.3,25.7,22.33410853
SM5_20110726,28.7,19.9,26.5,23.85581395
SM5_20110727,30,18.8,28,23.37615385
SM5_20110728,29.7,19.3,26.5,24.28384615
SM5_20110729,26.7,19.3,23.7,23.87384615
SM5_20110730,26.9,18.8,24.1,23.25267176
SM5_20110731,26.9,18.8,22.9,23.86564885
SM5_20110803,26.9,18.1,24.2,21.60833333
SM5_20110804,26.5,17.8,23.7,21.57518797
SM5_20110805,27.5,17.4,24.9,21.59548872
SM5_20110806,26,19.3,21.4,23.53458647
SM5_20110807,25.4,18.9,21.6,22.14029851
SM5_20110808,26,19.6,22.4,22.71268657
SM5_20110809,26.7,19.1,23.2,22.9358209
SM5_20110810,24.6,19.4,21.1,22.54074074
SM5_20110811,24.4,18.8,21.1,21.16666667
SM5_20110812,26,17.8,23.2,20.87647059
SM5_20110813,29.2,18.1,25.2,23.51102941
SM5_20110814,28.7,14.3,25.2,21.6649635
SM5_20110815,28.5,20.1,25.2,23.85182482
SM5_20110816,27.9,19.8,24.9,23.28248175
SM5_20110817,27.9,18.6,24.7,22.60434783
SM5_20110818,26.4,17.8,23.6,21.13550725
SM5_20110819,23.9,17.9,21.1,21.39856115
