site,date,detector_date,bug_date,bug_1,bug_2,bug_3
FOGAR,20110811,SM1_20110811,20110818,20110714,20110802,20110818
FOGAR,20110812,SM1_20110812,20110818,20110714,20110802,20110818
FOGAR,20110714,SM4_20110714,20110714,20110714,20110802,20110818
FOGAR,20110715,SM4_20110715,20110714,20110714,20110802,20110818
FOGAR,20110716,SM4_20110716,20110714,20110714,20110802,20110818
GRACR,20110714,SM1_20110714,20110714,20110714,20110802,20110818
GRACR,20110715,SM1_20110715,20110714,20110714,20110802,20110818
GRACR,20110716,SM1_20110716,20110714,20110714,20110802,20110818
GRACR,20110806,SM6_20110806,20110802,20110714,20110802,20110818
GRACR,20110807,SM6_20110807,20110802,20110714,20110802,20110818
GRACR,20110808,SM6_20110808,20110802,20110714,20110802,20110818
GRACR,20110809,SM6_20110809,20110802,20110714,20110802,20110818
GRACR,20110810,SM6_20110810,20110802,20110714,20110802,20110818
GRACR,20110811,SM6_20110811,20110818,20110714,20110802,20110818
GRACR,20110812,SM6_20110812,20110818,20110714,20110802,20110818
GRCAR,20110714,SM2_20110714,20110714,20110714,20110802,20110818
GRCAR,20110715,SM2_20110715,20110714,20110714,20110802,20110818
GRCAR,20110716,SM2_20110716,20110714,20110714,20110802,20110818
GRCAR,20110806,SM4_20110806,20110802,20110714,20110802,20110818
GRCAR,20110807,SM4_20110807,20110802,20110714,20110802,20110818
GRCAR,20110808,SM4_20110808,20110802,20110714,20110802,20110818
GRCAR,20110809,SM4_20110809,20110802,20110714,20110802,20110818
GRCAR,20110810,SM4_20110810,20110802,20110714,20110802,20110818
GRCAR,20110811,SM4_20110811,20110818,20110714,20110802,20110818
GRCAR,20110812,SM4_20110812,20110818,20110714,20110802,20110818
GRRUR,20110817,SM3_20110817,20110818,20110714,20110802,20110818
GRRUR,20110818,SM3_20110818,20110818,20110714,20110802,20110818
GRRUR,20110819,SM3_20110819,20110818,20110714,20110802,20110818
GRRUR,20110721,SM4_20110721,20110714,20110714,20110802,20110818
GRRUR,20110722,SM4_20110722,20110714,20110714,20110802,20110818
GRRUR,20110723,SM4_20110723,20110714,20110714,20110802,20110818
GRYOP,20110806,SM2_20110806,20110802,20110714,20110802,20110818
GRYOP,20110807,SM2_20110807,20110802,20110714,20110802,20110818
GRYOP,20110808,SM2_20110808,20110802,20110714,20110802,20110818
GRYOP,20110809,SM2_20110809,20110802,20110714,20110802,20110818
GRYOP,20110810,SM2_20110810,20110802,20110714,20110802,20110818
GRYOP,20110811,SM2_20110811,20110818,20110714,20110802,20110818
GRYOP,20110812,SM2_20110812,20110818,20110714,20110802,20110818
GRYOP,20110717,SM4_20110717,20110714,20110714,20110802,20110818
GRYOP,20110718,SM4_20110718,20110714,20110714,20110802,20110818
GRYOP,20110719,SM4_20110719,20110714,20110714,20110802,20110818
GRYOP,20110720,SM4_20110720,20110714,20110714,20110802,20110818
GRYOR,20110717,SM1_20110717,20110714,20110714,20110802,20110818
GRYOR,20110718,SM1_20110718,20110714,20110714,20110802,20110818
GRYOR,20110719,SM1_20110719,20110714,20110714,20110802,20110818
GRYOR,20110720,SM1_20110720,20110714,20110714,20110802,20110818
GRYOR,20110806,SM3_20110806,20110802,20110714,20110802,20110818
GRYOR,20110807,SM3_20110807,20110802,20110714,20110802,20110818
GRYOR,20110808,SM3_20110808,20110802,20110714,20110802,20110818
GRYOR,20110809,SM3_20110809,20110802,20110714,20110802,20110818
GRYOR,20110810,SM3_20110810,20110802,20110714,20110802,20110818
GRYOR,20110811,SM3_20110811,20110818,20110714,20110802,20110818
GRYOR,20110812,SM3_20110812,20110818,20110714,20110802,20110818
HOCRP,20110728,SM4_20110728,20110802,20110714,20110802,20110818
HOCRP,20110729,SM4_20110729,20110802,20110714,20110802,20110818
HOCRP,20110730,SM4_20110730,20110802,20110714,20110802,20110818
HOCRP,20110731,SM4_20110731,20110802,20110714,20110802,20110818
HOCRP,20110823,SM5_20110823,20110818,20110714,20110802,20110818
HOCRP,20110824,SM5_20110824,20110818,20110714,20110802,20110818
HOCRP,20110825,SM5_20110825,20110818,20110714,20110802,20110818
HOCRP,20110826,SM5_20110826,20110818,20110714,20110802,20110818
HOCRR,20110728,SM3_20110728,20110802,20110714,20110802,20110818
HOCRR,20110729,SM3_20110729,20110802,20110714,20110802,20110818
HOCRR,20110730,SM3_20110730,20110802,20110714,20110802,20110818
HOCRR,20110731,SM3_20110731,20110802,20110714,20110802,20110818
HOCRR,20110823,SM6_20110823,20110818,20110714,20110802,20110818
HOCRR,20110824,SM6_20110824,20110818,20110714,20110802,20110818
HOCRR,20110825,SM6_20110825,20110818,20110714,20110802,20110818
HOCRR,20110826,SM6_20110826,20110818,20110714,20110802,20110818
HYDER,20110714,SM3_20110714,20110714,20110714,20110802,20110818
HYDER,20110715,SM3_20110715,20110714,20110714,20110802,20110818
HYDER,20110716,SM3_20110716,20110714,20110714,20110802,20110818
HYDER,20110813,SM6_20110813,20110818,20110714,20110802,20110818
HYDER,20110814,SM6_20110814,20110818,20110714,20110802,20110818
HYDER,20110815,SM6_20110815,20110818,20110714,20110802,20110818
HYDER,20110816,SM6_20110816,20110818,20110714,20110802,20110818
JPBDR,20110721,SM3_20110721,20110714,20110714,20110802,20110818
JPBDR,20110722,SM3_20110722,20110714,20110714,20110802,20110818
JPBDR,20110723,SM3_20110723,20110714,20110714,20110802,20110818
JPBDR,20110817,SM4_20110817,20110818,20110714,20110802,20110818
JPBDR,20110818,SM4_20110818,20110818,20110714,20110802,20110818
JPBDR,20110819,SM4_20110819,20110818,20110714,20110802,20110818
JPHRP,20110724,SM3_20110724,20110802,20110714,20110802,20110818
JPHRP,20110725,SM3_20110725,20110802,20110714,20110802,20110818
JPHRP,20110726,SM3_20110726,20110802,20110714,20110802,20110818
JPHRP,20110727,SM3_20110727,20110802,20110714,20110802,20110818
JPHRP,20110820,SM3_20110820,20110818,20110714,20110802,20110818
JPHRP,20110821,SM3_20110821,20110818,20110714,20110802,20110818
JPHRP,20110822,SM3_20110822,20110818,20110714,20110802,20110818
JPHRR,20110820,SM2_20110820,20110818,20110714,20110802,20110818
JPHRR,20110821,SM2_20110821,20110818,20110714,20110802,20110818
JPHRR,20110822,SM2_20110822,20110818,20110714,20110802,20110818
JPHRR,20110724,SM6_20110724,20110802,20110714,20110802,20110818
JPHRR,20110725,SM6_20110725,20110802,20110714,20110802,20110818
JPHRR,20110726,SM6_20110726,20110802,20110714,20110802,20110818
JPHRR,20110727,SM6_20110727,20110802,20110714,20110802,20110818
JPHRX,20110820,SM1_20110820,20110818,20110714,20110802,20110818
JPHRX,20110821,SM1_20110821,20110818,20110714,20110802,20110818
JPHRX,20110822,SM1_20110822,20110818,20110714,20110802,20110818
JPHRX,20110820,SM4_20110820,20110818,20110714,20110802,20110818
JPHRX,20110821,SM4_20110821,20110818,20110714,20110802,20110818
JPHRX,20110822,SM4_20110822,20110818,20110714,20110802,20110818
NCTBR,20110717,SM3_20110717,20110714,20110714,20110802,20110818
NCTBR,20110718,SM3_20110718,20110714,20110714,20110802,20110818
NCTBR,20110719,SM3_20110719,20110714,20110714,20110802,20110818
NCTBR,20110720,SM3_20110720,20110714,20110714,20110802,20110818
NCTBR,20110806,SM5_20110806,20110802,20110714,20110802,20110818
NCTBR,20110807,SM5_20110807,20110802,20110714,20110802,20110818
NCTBR,20110808,SM5_20110808,20110802,20110714,20110802,20110818
NCTBR,20110809,SM5_20110809,20110802,20110714,20110802,20110818
NCTBR,20110810,SM5_20110810,20110802,20110714,20110802,20110818
NCTBR,20110811,SM5_20110811,20110818,20110714,20110802,20110818
NCTBR,20110812,SM5_20110812,20110818,20110714,20110802,20110818
NCTCR,20110717,SM2_20110717,20110714,20110714,20110802,20110818
NCTCR,20110718,SM2_20110718,20110714,20110714,20110802,20110818
NCTCR,20110719,SM2_20110719,20110714,20110714,20110802,20110818
NCTCR,20110720,SM2_20110720,20110714,20110714,20110802,20110818
NCTCR,20110813,SM5_20110813,20110818,20110714,20110802,20110818
NCTCR,20110814,SM5_20110814,20110818,20110714,20110802,20110818
NCTCR,20110815,SM5_20110815,20110818,20110714,20110802,20110818
NCTCR,20110816,SM5_20110816,20110818,20110714,20110802,20110818
PIKAP,20110813,SM1_20110813,20110818,20110714,20110802,20110818
PIKAP,20110814,SM1_20110814,20110818,20110714,20110802,20110818
PIKAP,20110815,SM1_20110815,20110818,20110714,20110802,20110818
PIKAP,20110816,SM1_20110816,20110818,20110714,20110802,20110818
PIKAP,20110717,SM6_20110717,20110714,20110714,20110802,20110818
PIKAP,20110718,SM6_20110718,20110714,20110714,20110802,20110818
PIKAP,20110719,SM6_20110719,20110714,20110714,20110802,20110818
PIKAP,20110720,SM6_20110720,20110714,20110714,20110802,20110818
PIKAR,20110813,SM2_20110813,20110818,20110714,20110802,20110818
PIKAR,20110814,SM2_20110814,20110818,20110714,20110802,20110818
PIKAR,20110815,SM2_20110815,20110818,20110714,20110802,20110818
PIKAR,20110816,SM2_20110816,20110818,20110714,20110802,20110818
PIKAR,20110717,SM5_20110717,20110714,20110714,20110802,20110818
PIKAR,20110718,SM5_20110718,20110714,20110714,20110802,20110818
PIKAR,20110719,SM5_20110719,20110714,20110714,20110802,20110818
PIKAR,20110720,SM5_20110720,20110714,20110714,20110802,20110818
RILAR,20110728,SM1_20110728,20110802,20110714,20110802,20110818
RILAR,20110729,SM1_20110729,20110802,20110714,20110802,20110818
RILAR,20110730,SM1_20110730,20110802,20110714,20110802,20110818
RILAR,20110731,SM1_20110731,20110802,20110714,20110802,20110818
RILAR,20110823,SM4_20110823,20110818,20110714,20110802,20110818
RILAR,20110824,SM4_20110824,20110818,20110714,20110802,20110818
RILAR,20110825,SM4_20110825,20110818,20110714,20110802,20110818
RILAR,20110826,SM4_20110826,20110818,20110714,20110802,20110818
RIWRR,20110728,SM2_20110728,20110802,20110714,20110802,20110818
RIWRR,20110729,SM2_20110729,20110802,20110714,20110802,20110818
RIWRR,20110730,SM2_20110730,20110802,20110714,20110802,20110818
RIWRR,20110731,SM2_20110731,20110802,20110714,20110802,20110818
RIWRR,20110823,SM3_20110823,20110818,20110714,20110802,20110818
RIWRR,20110824,SM3_20110824,20110818,20110714,20110802,20110818
RIWRR,20110825,SM3_20110825,20110818,20110714,20110802,20110818
